Date (GMT),Open,High,Low,Last,Volume,MACD,MACD Signal Line,BBandUp,BBandMid,BBandLow
11/4/2020 2:30,13811.58,13872.91,13778.6,13790,1487.5963,54.7725329,66.56113525,13989.6497,13791.15392,13592.65814
11/4/2020 3:00,13790.01,13803.97,13700,13756.49,2483.6942,45.52043083,62.35299436,13984.6149,13787.8526,13591.09029
11/4/2020 3:30,13755.01,13948.28,13755,13892.56,3152.2077,48.60746846,59.60388918,13994.44722,13797.82473,13601.20224
11/4/2020 4:00,13892.62,13954.99,13856.81,13898.86,1615.7019,50.97472052,57.87805545,14004.85219,13807.44714,13610.04208
11/4/2020 4:30,13898.86,13915.53,13828.44,13885.17,1504.2505,51.15641692,56.53372775,14011.89131,13814.84931,13617.80731
11/4/2020 5:00,13884.37,13920.99,13854.34,13898.03,1542.5798,51.74166148,55.57531449,14018.9325,13822.77128,13626.61007
11/4/2020 5:30,13898.03,13928.26,13857.29,13876.01,1134.5285,49.85395666,54.43104293,14022.01035,13827.84164,13633.67292
11/4/2020 6:00,13876.01,13880.6,13786.54,13795.62,1504.2948,41.3939719,51.82362872,14014.26421,13824.77291,13635.28161
11/4/2020 6:30,13795.61,13833.81,13751,13802.03,1447.6977,34.80539157,48.41998129,14009.33249,13822.60692,13635.88135
11/4/2020 7:00,13802.04,13840.22,13770,13803.59,957.8071,29.37120023,44.61022508,14004.54127,13820.79578,13637.0503
11/4/2020 7:30,13803.58,13817,13771.01,13802.04,1075.1899,24.65528166,40.6192364,14001.89871,13819.00952,13636.12033
11/4/2020 8:00,13802.04,13804.32,13525,13600.91,4634.2046,4.634943392,33.4223778,14014.57778,13798.23814,13581.89849
11/4/2020 8:30,13600.46,13693.91,13569.51,13670.66,2049.2104,-5.539224124,25.63005741,14018.72816,13786.08784,13553.44752
11/4/2020 9:00,13670.67,13694.53,13631.31,13645.91,1232.4927,-15.4216719,17.41971155,14023.38657,13772.73757,13522.08856
11/4/2020 9:30,13645.9,13696.84,13636.5,13683.46,1599.0728,-19.99314327,9.937140584,13994.49793,13764.23494,13533.97195
11/4/2020 10:00,13684.79,13690,13650,13654.93,1285.1779,-25.62283574,2.82514532,13965.26875,13753.82495,13542.38115
11/4/2020 10:30,13654.94,13756.97,13608,13721.07,1956.4627,-24.46543997,-2.632971737,13934.37981,13750.70543,13567.03105
